,Address,Brand,Price,Self,Store,Si
0,경기 고양시 덕양구 서오릉로 712 (원흥동),현대오일뱅크,1457,Y,(주)원흥 원흥동지점,고양시
1,경기 고양시 덕양구 서오릉로 832 (성사동),SK에너지,1457,Y,덕양제1주유소,고양시
2,경기 고양시 덕양구 보광로 126 (벽제동),알뜰주유소,1467,Y,개나리주유소,고양시
3,경기 고양시 덕양구 충장로 407,알뜰주유소,1475,Y,(주)어울림주유소,고양시
4,경기 고양시 덕양구 북한산로 539 (효자동),현대오일뱅크,1475,Y,북한산주유소,고양시
5,경기 고양시 덕양구 호국로 1259,알뜰주유소,1477,Y,너멍골알뜰주유소,고양시
6,경기 고양시 덕양구 통일로 1228,현대오일뱅크,1482,Y,(주)내유셀프주유소,고양시
7,경기 고양시 덕양구 통일로 1020 (관산동),현대오일뱅크,1484,Y,통일로주유소,고양시
8,경기 고양시 덕양구 충장로 142 (행신동),알뜰주유소,1485,Y,덕양주유소,고양시
9,경기 고양시 덕양구 통일로 1180 (내유동),GS칼텍스,1485,Y,동원2주유소,고양시
10,경기 고양시 덕양구 원당로 433 (원당동),SK에너지,1485,N,SK부광주유소 원당점,고양시
11,경기 고양시 덕양구 통일로 862 (관산동),알뜰주유소,1485,Y,(주)통일로 일품주유소,고양시
12,경기 고양시 일산동구 무궁화로 250 (풍동),SK에너지,1487,Y,덕양제7주유소,고양시
13,경기 고양시 덕양구 호국로 1941 (벽제동),SK에너지,1487,Y,KH에너지(주) 가나주유소,고양시
14,경기 고양시 일산동구 중산로 55 (중산동),SK에너지,1487,Y,풍산셀프주유소,고양시
15,경기 고양시 일산동구 고봉로 470 (성석동),SK에너지,1487,N,신우에너지(주),고양시
16,경기 고양시 일산서구 덕이로 36 (덕이동),SK에너지,1487,Y,신덕이로주유소,고양시
17,경기 고양시 덕양구 고양대로 1464 (성사동),현대오일뱅크,1487,Y,오토파워주유소,고양시
18,경기 고양시 일산동구 고양대로 831,현대오일뱅크,1487,Y,안곡주유소,고양시
19,경기 고양시 덕양구 호국로 992,GS칼텍스,1487,Y,그린주유소,고양시
20,경기 고양시 일산동구 무궁화로 299 (풍동),현대오일뱅크,1487,Y,(주)원흥 풍동지점,고양시
21,경기 고양시 일산동구 고양대로 1064 (식사동),SK에너지,1487,Y,KH에너지(주)KH기쁨주유소,고양시
22,경기 고양시 일산동구 고봉로 464 (성석동),SK에너지,1487,Y,고봉산주유소,고양시
23,경기 고양시 일산동구 무궁화로 304 (풍동),현대오일뱅크,1487,Y,(주)진성에너지 무궁화셀프주유소,고양시
